delta_t,msdB,msdR,msdmaxBlue,msdmaxRed,msdminBlue,msdminRed,normB,normR,stdNormB,stdNormR
0.0004095999,[ 0.02310483],[ 0.02079217],[ 0.01976911],[ 0.02133858],[ 0.02184766],[ 0.02493205],0.6905037267432627,0.7821459266376795,0.003527366354267116,0.0044069442841376165
0.0004607999,[ 0.02448338],[ 0.0222476],[ 0.02125509],[ 0.02267957],[ 0.0232699],[ 0.02634992],0.6759976571013951,0.7721297416240128,0.003274653511565915,0.004386275579935696
0.0005119998999999999,[ 0.02586323],[ 0.02352589],[ 0.0224704],[ 0.0240206],[ 0.02461444],[ 0.02777047],0.6637588883768588,0.7623584396432381,0.003357579594680816,0.004368289828435426
0.0005631999,[ 0.02718037],[ 0.02501433],[ 0.02395934],[ 0.02534688],[ 0.02610157],[ 0.02907697],0.6500633235441683,0.753259760600772,0.003215719204223007,0.0042420021086450425
0.0006143998999999999,[ 0.02857463],[ 0.02631872],[ 0.02528533],[ 0.0266981],[ 0.02738242],[ 0.03051644],0.638524067008291,0.7438622875563058,0.0030357258286347103,0.004234519167116975
0.0006655999000000001,[ 0.02982045],[ 0.02767495],[ 0.02661064],[ 0.02790362],[ 0.02877078],[ 0.03180462],0.6269583197865497,0.7356617440536294,0.0030133109328008435,0.004231243250727731
0.0007167999,[ 0.03116347],[ 0.02899472],[ 0.02788967],[ 0.02924727],[ 0.03013314],[ 0.03314609],0.6161034139527567,0.7270215937075576,0.003020855658580616,0.004130166697346511
0.0007679999000000001,[ 0.03244007],[ 0.03032143],[ 0.02917612],[ 0.03051946],[ 0.03150195],[ 0.03442662],0.6055678574088584,0.7189947316098922,0.003024410218557292,0.004048186209620866
0.0008191998,[ 0.03374053],[ 0.03176041],[ 0.03064418],[ 0.03175525],[ 0.03290938],[ 0.03579549],0.594544594404236,0.7109979242658054,0.0028383601729858603,0.004093522412574091
0.0009215999,[ 0.03631918],[ 0.03425917],[ 0.03311497],[ 0.03429337],[ 0.03543663],[ 0.03841589],0.5763350262810452,0.6956551152931937,0.002732256188254472,0.00399894196582887
0.001024,[ 0.03890789],[ 0.03692258],[ 0.03576562],[ 0.03684376],[ 0.03811237],[ 0.041044],0.5581228713639368,0.6809026355102835,0.0025889793177904493,0.003903919594670719
0.0011264,[ 0.04145368],[ 0.03956931],[ 0.03842334],[ 0.03933238],[ 0.0407464],[ 0.04364938],0.5411358507885473,0.6669903430923521,0.002408584714764937,0.0038508414447984947
0.0012288,[ 0.04409371],[ 0.04220602],[ 0.04098215],[ 0.041934],[ 0.04346433],[ 0.04632886],0.5252143497894182,0.6531482735857677,0.002423928144564834,0.003760138336818507
0.0013312,[ 0.04663522],[ 0.04479941],[ 0.0435226],[ 0.04444884],[ 0.04611259],[ 0.04889732],0.5104442355535508,0.6403517995768319,0.0023888090024016327,0.0036593197785075326
0.0014336,[ 0.04928094],[ 0.04767676],[ 0.04643938],[ 0.04700143],[ 0.04894716],[ 0.05164112],0.4949997585143375,0.6275490454701333,0.0021752765973687255,0.0036666111670714792
0.001536,[ 0.05188213],[ 0.05025284],[ 0.04890604],[ 0.04956138],[ 0.05163772],[ 0.05428481],0.4819433233937571,0.6154474194208092,0.00224637531632921,0.003591424118318309
0.0016384,[ 0.05465288],[ 0.05283349],[ 0.05143114],[ 0.05225923],[ 0.05427603],[ 0.05713191],0.469534616679886,0.603055522359306,0.0022209787990716007,0.0035585959189031774
0.0018432000000000001,[ 0.06003594],[ 0.05842629],[ 0.05698406],[ 0.05753692],[ 0.05990865],[ 0.06262442],0.44470987400270795,0.5803395931541923,0.0020495133201821653,0.0034438102732829027
0.002048,[ 0.06560968],[ 0.06408493],[ 0.06259386],[ 0.0630118],[ 0.06561662],[ 0.06830051],0.42211171419044896,0.5585349306023726,0.00191028288108099,0.0033194063931050633
0.0022528,[ 0.07118993],[ 0.06969711],[ 0.06807971],[ 0.06847196],[ 0.07135997],[ 0.0740059],0.40183860307456054,0.5382658742931212,0.0018808071926612957,0.003229401844428595
0.0024576,[ 0.07698158],[ 0.07540004],[ 0.07378154],[ 0.07409419],[ 0.07706184],[ 0.07997557],0.38311730483972095,0.5187058165533749,0.0017120151355855362,0.0031912065261271174
0.0026624,[ 0.08280615],[ 0.0813325],[ 0.07964695],[ 0.079776],[ 0.08306278],[ 0.08594956],0.3653831798579403,0.5003946826713112,0.0016241049235364068,0.003121612648412912
0.0028671990000000004,[ 0.08874115],[ 0.08732682],[ 0.08556259],[ 0.08554885],[ 0.08913784],[ 0.0920548],0.34903104952685127,0.482996446636765,0.001553879289673089,0.0030693437324355575
0.003071999,[ 0.09473545],[ 0.09358471],[ 0.0917819],[ 0.09141122],[ 0.09543413],[ 0.0981868],0.3334240356031238,0.46658691820130244,0.001451422791314974,0.0029876359360308424
0.0032767990000000004,[ 0.10090912],[ 0.10003795],[ 0.09819949],[ 0.09737304],[ 0.10192269],[ 0.10458432],0.31869816033361253,0.4507880681034871,0.00135474293494586,0.002972927452535452
0.0036863990000000004,[ 0.11294799],[ 0.11225032],[ 0.11024099],[ 0.1091684],[ 0.11431068],[ 0.11687669],0.29404218200778875,0.42280069008405885,0.0012660507803420554,0.0028049770667755544
0.004096,[ 0.12522548],[ 0.12480297],[ 0.12267386],[ 0.12117067],[ 0.12698517],[ 0.12944182],0.2722905505051948,0.3975412397253046,0.0011556155645613528,0.0026705819815438106
0.004505599,[ 0.13737643],[ 0.13705851],[ 0.13473656],[ 0.1330515],[ 0.13943943],[ 0.14187504],0.25386704494426726,0.3752705042038043,0.0011010672437455392,0.0025481524971851265
0.004915199,[ 0.14925071],[ 0.14901645],[ 0.14650458],[ 0.14471828],[ 0.15159318],[ 0.15396411],0.2380733986297155,0.35572321055886125,0.001052846068424362,0.0024081984394611574
0.005324799,[ 0.16067039],[ 0.1603408],[ 0.15748776],[ 0.15595264],[ 0.16327312],[ 0.165575],0.22476767322118646,0.3386935020793956,0.0010719265992583439,0.002280419210271698
0.005734399,[ 0.17130876],[ 0.17159814],[ 0.16844697],[ 0.16632081],[ 0.17484123],[ 0.17649702],0.2128844449496015,0.32418378477688725,0.0010677790452402883,0.0022171190279100415
0.006143999,[ 0.18145088],[ 0.18202107],[ 0.17884019],[ 0.17625834],[ 0.18529132],[ 0.18685226],0.2029068215309433,0.311421402727235,0.000982980169090312,0.0021370888946824706
0.006553599,[ 0.19055779],[ 0.19089205],[ 0.18752824],[ 0.18528216],[ 0.19435218],[ 0.19604175],0.19509281170673648,0.30075600241237577,0.0009648477170842558,0.002030525180171577
0.007372799,[ 0.20605173],[ 0.20740431],[ 0.2032961],[ 0.20066847],[ 0.21164757],[ 0.21164015],0.18197795815684192,0.2841327875335558,0.0010345442371283511,0.001857592909479353
0.008191999,[ 0.21840177],[ 0.22017645],[ 0.21551571],[ 0.21306599],[ 0.22500331],[ 0.2239306],0.17293021529631802,0.272089762136732,0.0010670163955659542,0.0016938666862421218
0.009011199000000001,[ 0.22775549],[ 0.22990708],[ 0.22465149],[ 0.22239886],[ 0.2353673],[ 0.23330074],0.16658991154791408,0.263597071748519,0.0011229260547194243,0.0016002517904881023
0.009830398,[ 0.23491941],[ 0.23773581],[ 0.23187061],[ 0.2297816],[ 0.24384984],[ 0.24022652],0.16179952848871165,0.25742614165917943,0.0011879848606562342,0.0014657882001850937
0.0106496,[ 0.24117771],[ 0.2450546],[ 0.23854558],[ 0.23629951],[ 0.25186363],[ 0.24620531],0.1575506955266014,0.25225566376733694,0.0012560477244012676,0.0013376893824299824
0.0114688,[ 0.24789918],[ 0.2519434],[ 0.24484491],[ 0.24296742],[ 0.25939173],[ 0.25298055],0.15373941396536175,0.24691766222867903,0.0013100275252115722,0.0012984749328330467
0.012288,[ 0.25586084],[ 0.26034449],[ 0.25265368],[ 0.25074881],[ 0.26843611],[ 0.26112999],0.14932021188159667,0.2408654422989984,0.0013453619068153776,0.0012844118541402354
